iter	Passed	Remaining
220	173056	610003
221	173845	609243
222	174406	607684
223	175280	607222
224	176001	606225
225	176847	605664
226	177468	604330
227	178082	602980
228	178698	601644
229	179658	601464
230	180416	600606
231	181304	600180
232	181932	598893
233	182542	597553
234	183146	596201
235	184144	596127
236	184787	594906
237	185450	593754
238	186155	592737
239	186808	591560
240	187465	590400
241	188323	589874
242	189122	589159
243	189988	588654
244	190646	587502
245	191721	587635
246	192351	586399
247	192975	585150
248	193631	584004
249	194238	582715
250	195034	581995
251	195642	580717
252	196255	579458
253	197280	579414
254	197919	578236
255	198621	577244
256	199362	576366
257	200005	575209
258	201101	575352
259	201820	574412
260	202792	574191
261	203472	573139
262	204188	572194
263	205132	571883
264	205824	570872
265	206755	570520
266	207573	569854
267	208391	569188
268	209502	569317
269	210445	568982
270	211533	569032
271	212274	568145
272	213266	567928
273	214640	568717
274	216419	570561
275	217270	569941
276	217979	568950
277	218804	568261
278	219652	567632
279	220378	566688
280	221300	566246
281	221994	565219
282	222630	564049
283	223256	562857
284	224617	563512
285	225456	562852
286	226294	562187
287	226895	560936
288	227864	560594
289	228597	559670
290	229225	558490
291	230055	557806
292	230807	556930
293	231745	556504
294	232572	555809
295	233702	555833
296	234619	555345
297	235204	554072
298	235870	552992
299	236766	552456
300	237462	551450
301	238129	550378
302	238772	549254
303	239345	547975
304	239939	546747
305	240677	545851
306	241587	545342
307	242339	544477
308	243170	543788
309	244025	543153
310	244824	542393
311	245451	541252
312	246461	540955
313	247332	540349
314	248032	539371
315	248686	538296
316	249440	537438
317	250121	536424
318	251008	535852
319	252001	535503
320	252943	535041
321	253791	534381
322	254464	533351
323	255089	532223
324	255733	531139
325	256436	530179
326	257453	529866
327	258294	529188
328	259183	528609
329	259849	527573
330	260519	526549
331	261431	526012
332	262114	525016
333	262878	524183
334	263604	523274
335	264336	522379
336	265057	521462
337	265662	520320
338	266319	519284
339	267140	518565
340	267908	517746
341	268522	516630
342	269354	515934
343	270162	515193
344	270999	514505
345	271819	513786
346	272453	512714
347	273138	511742
348	273840	510801
349	274425	509648
350	275106	508673
351	275878	507867
352	276865	507456
353	277429	506270
354	278106	505292
355	278736	504231
356	279481	503379
357	280224	502524
358	280921	501589
359	281588	500602
360	282599	500224
361	283192	499107
362	283822	498058
363	284468	497038
364	285112	496017
365	285728	494949
366	286629	494377
367	287502	493754
368	288146	492737
369	288720	491605
370	289436	490716
371	290062	489676
372	290932	489047
373	291716	488273
374	292624	487706
375	293458	487016
376	294202	486175
377	295049	485504
378	295960	484937
379	296525	483805
380	297303	483021
381	298056	482196
382	298777	481321
383	299833	480983
384	300456	479950
385	301263	479211
386	301905	478211
387	302679	477421
388	303625	476902
389	304282	475928
390	304951	474976
391	305550	473915
392	306290	473073
393	307018	472215
394	307629	471178
395	308389	470372
396	309025	469376
397	309587	468269
398	310744	468063
399	311344	467017
400	312208	466365
401	312982	465580
402	313719	464741
403	314387	463799
404	315073	462885
405	315731	461931
406	316576	461252
407	317194	460243
408	317932	459408
409	318787	458742
410	319696	458153
411	320457	457352
412	321070	456339
413	321870	455594
414	322456	454547
415	323224	453756
416	324098	453116
417	324921	452402
418	325569	451446
419	326282	450581
420	326996	449717
421	327683	448817
422	328397	447956
423	328981	446918
424	329773	446164
425	330379	445159
426	331373	444676
427	332360	444183
428	332981	443199
429	333612	442230
430	334360	441418
431	335003	440467
432	335605	439464
433	336390	438702
434	337215	437992
435	337863	437052
436	338841	436538
437	339485	435594
438	340101	434617
439	340779	433719
440	341565	432958
441	342264	432089
442	342980	431242
443	343659	430348
444	344609	429793
445	345305	428922
446	345952	427990
447	346859	427381
448	347551	426505
449	348400	425822
450	349065	424915
451	350059	424408
452	350745	423527
453	351412	422623
454	352279	421961
455	352898	421001
456	353552	420085
457	354155	419109
458	354764	418143
459	355450	417268
460	356151	416411
461	356951	415670
462	357690	414859
463	358595	414239
464	359229	413307
465	359847	412356
466	360572	411531
467	361401	410823
468	362138	410011
469	362722	409027
470	363469	408227
471	364063	407257
472	364628	406256
473	365275	405348
474	365870	404383
475	366501	403459
476	367261	402678
477	367889	401754
478	368411	400714
479	368991	399740
480	369673	398878
481	370226	397877
482	370855	396961
483	371538	396103
484	372048	395061
485	372526	393988
486	373139	393060
487	373750	392131
488	374383	391226
489	375000	390306
490	375731	389505
491	376281	388518
492	376920	387624
493	377440	386609
494	378111	385749
495	378772	384882
496	379333	383912
497	380087	383140
498	380648	382174
499	381163	381163
500	381899	380375
501	382456	379409
502	382992	378423
503	383744	377653
504	384280	376670
505	384836	375709
506	385478	374834
507	386271	374105
508	386915	373232
509	387995	372780
510	388735	371998
511	389511	371252
512	390048	370280
513	390851	369559
514	391801	368977
515	392513	368171
516	393355	367486
517	394223	366825
518	395038	366114
519	395846	365396
520	396655	364678
521	397369	363875
522	398262	363233
523	399889	363258
524	400829	362655
525	401517	361824
526	402110	360907
527	402642	359937
528	403468	359232
529	404048	358307
530	404591	357351
531	405197	356452
532	405790	355542
533	406573	354799
534	407232	353949
535	407915	353121
536	408864	352521
537	409765	351880
538	410444	351048
539	411223	350301
540	411771	349358
541	412662	348707
542	413272	347819
543	413974	347008
544	414463	346020
545	415072	345133
546	415768	344320
547	416462	343505
548	417083	342631
549	418024	342019
550	418537	341058
551	419051	340099
552	419631	339195
553	420175	338264
554	420807	337404
555	421349	336473
556	421967	335603
557	422522	334686
558	423122	333805
559	423812	332995
560	424475	332165
561	425219	331399
562	425738	330457
563	426380	329613
564	426971	328730
565	427502	327801
566	428167	326977
567	428764	326102
568	429411	325265
569	430047	324421
570	430714	323601
571	431331	322744
572	432022	321943
573	432846	321241
574	433462	320385
575	433976	319454
576	434633	318630
577	435309	317820
578	435933	316973
579	436601	316159
580	437112	315232
581	437692	314356
582	438289	313493
583	438826	312588
584	439548	311816
585	440271	311045
586	440910	310214
587	441503	309352
588	442272	308614
589	442839	307735
590	443367	306831
591	443980	305986
592	444478	305063
593	445049	304191
594	445562	303281
595	446365	302569
596	446906	301680
597	447709	300968
598	448332	300135
599	448842	299228
600	449340	298314
601	449874	297425
602	450495	296594
603	451195	295816
604	451949	295074
605	452532	294220
606	453462	293592
607	454086	292766
608	454608	291875
609	455209	291035
610	456105	290384
611	456624	289493
612	457200	288640
613	457772	287785
614	458262	286879
615	459017	286141
616	459612	285302
617	460261	284498
618	460799	283625
619	461414	282802
620	461992	281956
621	462664	281168
622	463263	280337
623	463924	279544
624	464580	278748
625	465174	277915
626	465695	277040
627	466274	276200
628	466786	275322
629	467402	274506
630	468149	273767
631	468696	272911
632	469245	272058
633	469739	271174
634	470661	270537
635	471353	269768
636	471916	268925
637	472447	268065
638	473152	267305
639	473889	266562
640	474695	265859
641	475217	264996
642	475763	264148
643	476516	263415
644	477087	262583
645	477615	261727
646	478157	260880
647	478689	260028
648	479283	259211
649	479866	258389
650	480465	257576
651	480957	256707
652	481437	255832
653	481945	254974
654	482688	254240
655	483242	253407
656	483840	252598
657	484615	251882
658	485268	251102
659	485789	250255
660	486417	249463
661	487070	248685
662	487688	247889
663	488320	247101
664	488856	246266
665	489432	245451
666	490057	244661
667	490592	243827
668	491392	243125
669	491984	242320
670	492583	241519
671	493362	240807
672	493957	240006
673	494539	239198
674	495332	238493
675	496117	237784
676	496699	236977
677	497197	236132
678	497757	235317
679	498286	234487
680	498943	233719
681	499462	232887
682	500060	232092
683	500688	231312
684	501332	230539
685	501822	229697
686	502334	228865
687	502911	228064
688	503795	227402
689	504730	226762
690	505278	225949
691	505841	225143
692	506344	224311
693	506921	223512
694	507434	222687
695	508030	221898
696	508556	221079
697	509054	220249
698	509554	219421
699	510066	218600
700	511076	217991
701	511584	217168
702	512330	216446
703	512954	215674
704	513468	214855
705	514036	214060
706	514698	213304
707	515454	212588
708	515960	211769
709	516744	211064
710	517332	210280
711	517820	209455
712	518382	208661
713	518988	207886
714	519545	207091
715	520304	206377
716	520903	205600
717	521597	204861
718	522116	204053
719	522874	203339
720	523404	202538
721	524079	201792
722	524617	200994
723	525152	200196
724	525643	199382
725	526304	198633
726	526906	197861
727	527478	197079
728	528140	196331
729	528948	195638
730	529585	194881
731	530173	194107
732	530771	193336
733	531259	192527
734	532203	191882
735	532781	191106
736	533567	190404
737	534097	189611
738	534718	188851
739	535502	188149
740	536138	187395
741	536967	186708
742	537612	185957
743	538113	185157
744	538762	184408
745	539329	183632
746	539876	182849
747	540501	182094
748	541106	181332
749	541618	180539
750	542139	179750
751	542663	178963
752	543272	178204
753	543889	177449
754	544589	176721
755	545168	175953
756	545761	175191
757	546364	174432
758	546907	173655
759	547460	172882
760	547970	172095
761	548709	171381
762	549369	170642
763	549907	169866
764	550587	169134
765	551111	168355
766	551688	167592
767	552251	166826
768	552745	166039
769	553263	165260
770	553785	164483
771	554414	163739
772	555010	162985
773	555904	162318
774	556444	161548
775	556945	160767
776	557499	160002
777	557971	159215
778	558524	158451
779	559045	157679
780	559684	156941
781	560330	156204
782	560854	155434
783	561375	154664
784	561892	153894
785	562546	153161
786	563243	152440
787	563774	151675
788	564304	150910
789	564911	150166
790	565447	149404
791	566088	148669
792	566692	147926
793	567401	147209
794	568209	146519
795	568957	145813
796	569452	145042
797	569958	144275
798	570604	143543
799	571159	142789
800	572071	142125
801	572633	141373
802	573313	140650
803	573813	139884
804	574590	139186
805	575135	138432
806	575862	137721
807	576548	137001
808	577291	136294
809	577883	135552
810	578612	134843
811	579490	134167
812	580386	133495
813	581389	132848
814	582215	132159
815	582812	131418
816	583558	130711
817	584243	129990
818	585463	129388
819	586403	128722
820	586913	127962
821	587515	127223
822	588248	126512
823	588769	125756
824	589331	125009
825	590094	124305
826	590671	123562
827	591283	122826
828	592015	122116
829	592546	121364
830	593057	120609
831	594392	120021
832	595003	119286
833	595884	118605
834	596551	117881
835	597081	117130
836	597871	116431
837	598453	115691
838	598976	114940
839	599491	114188
840	600054	113446
841	600674	112715
842	601215	111970
843	601919	111255
844	602624	110540
845	603415	109841
846	603971	109099
847	604527	108358
848	605149	107629
849	605638	106877
850	606356	106165
851	607141	105465
852	607733	104732
853	608273	103990
854	608964	103274
855	609568	102544
856	610078	101798
857	610660	101065
858	611170	100320
859	611710	99580
860	612345	98857
861	612881	98117
862	613402	97376
863	614145	96671
864	614767	95946
865	615423	95227
866	615972	94491
867	616689	93782
868	617454	93080
869	618036	92350
870	618812	91649
871	619467	90931
872	620410	90254
873	620974	89522
874	621533	88790
875	622003	88046
876	622536	87311
877	623188	86593
878	623786	85868
879	624592	85171
880	625144	84440
881	625864	83732
882	626432	83004
883	627089	82287
884	627618	81554
885	628172	80825
886	628745	80099
887	629325	79374
888	629789	78635
889	630352	77908
890	631199	77217
891	631774	76492
892	632313	75764
893	633173	75074
894	633956	74374
895	634507	73648
896	635027	72918
897	635776	72215
898	636512	71510
899	637137	70793
900	637741	70073
901	638273	69346
902	638749	68614
903	639591	67921
904	640151	67198
905	641132	66519
906	641654	65792
907	642179	65066
908	642717	64342
909	643335	63626
910	643877	62903
911	644440	62182
912	645133	61474
913	645886	60772
914	646445	60052
915	647208	59350
916	647943	58647
917	648528	57929
918	649146	57215
919	649865	56510
920	650662	55811
921	651155	55086
922	651881	54382
923	652395	53660
924	652961	52942
925	653589	52230
926	654164	51514
927	654706	50796
928	655329	50084
929	655941	49371
930	656697	48670
931	657367	47962
932	657863	47242
933	658414	46526
934	658985	45811
935	659697	45107
936	660302	44395
937	660885	43683
938	661475	42971
939	662020	42256
940	662747	41553
941	663308	40840
942	664095	40141
943	664972	39447
944	665560	38736
945	666075	38021
946	666612	37307
947	667134	36593
948	667759	35885
949	668364	35177
950	668892	34464
951	669401	33751
952	669905	33038
953	670392	32325
954	671046	31619
955	671915	30924
956	672657	30223
957	673620	29532
958	674175	28822
959	674737	28114
960	675264	27404
961	675792	26694
962	676588	25995
963	677321	25294
964	677877	24586
965	678408	23877
966	678917	23168
967	679681	22468
968	680455	21768
969	681094	21064
970	681850	20364
971	682495	19660
972	683209	18958
973	683876	18255
974	684514	17551
975	685087	16846
976	685781	16144
977	686295	15438
978	686804	14732
979	687393	14028
980	687959	13324
981	688789	12625
982	689463	11923
983	689977	11219
984	690589	10516
985	691504	9818
986	692119	9116
987	692685	8413
988	693172	7709
989	693796	7008
990	694376	6306
991	694975	5604
992	695862	4905
993	696519	4204
994	697059	3502
995	697655	2801
996	698427	2101
997	698946	1400
998	699454	700
999	700213	0
