iter	Logloss
0	0.4811180085
1	0.350903121
2	0.2678485715
3	0.2179677446
4	0.1840437528
5	0.1625248242
6	0.1451349827
7	0.1360566797
8	0.1278183144
9	0.122298921
10	0.118712641
11	0.1145485041
12	0.1119163566
13	0.1093481236
14	0.1081175501
15	0.1067610842
16	0.1056916988
17	0.1048554446
18	0.1041316404
19	0.1032447961
20	0.1027019952
21	0.1021060409
22	0.1012856145
23	0.1009185809
24	0.1005544412
25	0.1002287887
26	0.0996820169
27	0.09922971553
28	0.0990111821
29	0.09866992308
30	0.09842272522
31	0.09822859799
32	0.09801349181
33	0.09783017136
34	0.09761889963
35	0.09748075145
36	0.09727304753
37	0.09699315027
38	0.09668027249
39	0.09637260172
40	0.09620226677
41	0.09598045906
42	0.09577598808
43	0.09568872354
44	0.09547917577
45	0.09527206718
46	0.09503366068
47	0.09483258181
48	0.09468072257
49	0.09448812499
50	0.0943111588
51	0.09422476244
52	0.094034079
53	0.0939425645
54	0.09373105299
55	0.09357859016
56	0.09345201358
57	0.09326605345
58	0.09312865975
59	0.09299013122
60	0.09279537559
61	0.09275090822
62	0.09252114838
63	0.09244382037
64	0.09237114126
65	0.09228136313
66	0.09209032828
67	0.0918499353
68	0.09180342563
69	0.09169850188
70	0.09154125992
71	0.09140430445
72	0.09128462783
73	0.09119022974
74	0.09100470577
75	0.09094205001
76	0.09080280419
77	0.0907458991
78	0.09059975331
79	0.09053331063
80	0.09047809435
81	0.09042353541
82	0.09013216783
83	0.090058912
84	0.08992081549
85	0.08977494463
86	0.08965140874
87	0.08962756685
88	0.0895728136
89	0.08946203997
90	0.08930321255
91	0.089128669
92	0.08903646203
93	0.08900995772
94	0.08887296297
95	0.08869179644
96	0.08860614009
97	0.08844480322
98	0.08828828888
99	0.08813406901
100	0.08801486576
101	0.08790255421
102	0.08784944844
103	0.08776733303
104	0.08773158673
105	0.08764938451
106	0.08763765994
107	0.0875104653
108	0.08749714493
109	0.08735550748
110	0.08734461388
111	0.08726910698
112	0.08721379562
113	0.08711472175
114	0.08700583125
115	0.08694020507
116	0.08682582435
117	0.08677545748
118	0.08665136348
119	0.08646379722
120	0.0863729566
121	0.08632716215
122	0.08624632421
123	0.08615584326
124	0.08614563387
125	0.08611614054
126	0.08610131532
127	0.08605308583
128	0.08597478422
129	0.08584551214
130	0.08576471968
131	0.08571072505
132	0.08570315121
133	0.08564004482
134	0.08555941359
135	0.0854755887
136	0.08539692948
137	0.0852418249
138	0.08508380778
139	0.08502755795
140	0.08492887063
141	0.08490461326
142	0.08477330716
143	0.08471360114
144	0.08465480672
145	0.08454631516
146	0.08451956074
147	0.08446634127
148	0.08441553824
149	0.08437105226
150	0.08429675875
151	0.08426764783
152	0.08410834911
153	0.08408944758
154	0.08404964564
155	0.08401609666
156	0.08395371789
157	0.08389415038
158	0.08385364562
159	0.08381392636
160	0.08369161213
161	0.08363668111
162	0.08354672521
163	0.08345855735
164	0.0833709662
165	0.08333474447
166	0.08322071103
167	0.08320475098
168	0.08314743453
169	0.08313917028
170	0.08310528643
171	0.08310043082
172	0.08303947835
173	0.08297404028
174	0.08296945546
175	0.08290026147
176	0.08289515781
177	0.0828478213
178	0.08283229534
179	0.08282817148
180	0.08278424569
181	0.08278044636
182	0.08270675437
183	0.08268470879
184	0.08266887483
185	0.08261650494
186	0.08257535939
187	0.08252996389
188	0.0823988707
189	0.08239443264
190	0.08235406432
191	0.08235029186
192	0.0822752914
193	0.08227180215
194	0.08216646084
195	0.08204095915
196	0.08202447819
197	0.08195590227
198	0.08188715891
199	0.08181342145
200	0.08177532072
201	0.08171279519
202	0.08163492147
203	0.08163016715
204	0.08151179694
205	0.08150937843
206	0.08146657093
207	0.08139819965
208	0.08139466905
209	0.08133534338
210	0.08130924422
211	0.08127416353
212	0.08121642333
213	0.08117390729
214	0.08114067664
215	0.08112071676
216	0.08109869392
217	0.08100002313
218	0.08098577877
219	0.08093156504
220	0.08092837137
221	0.08083691062
222	0.08083452726
223	0.08075467946
224	0.08069156894
225	0.08061012947
226	0.08057627664
227	0.08056623468
228	0.08052236676
229	0.08043391157
230	0.08038021254
231	0.08026527371
232	0.08022271219
233	0.08020510053
234	0.08020320087
235	0.08013647086
236	0.08010561532
237	0.08006957342
238	0.08000749232
239	0.07998054978
240	0.07994989681
241	0.07989189615
242	0.07985148855
243	0.07980351744
244	0.07976010842
245	0.07969346729
246	0.07966185519
247	0.07963345328
248	0.07962057114
249	0.0796013244
250	0.07953467295
251	0.07950562404
252	0.07948088296
253	0.07940188887
254	0.07938352892
255	0.07934622197
256	0.07931028756
257	0.07929479674
258	0.07919140471
259	0.07918182579
260	0.07913636414
261	0.07911170368
262	0.07908966223
263	0.07905713646
264	0.07905163799
265	0.07901547
266	0.07900437176
267	0.07897523604
268	0.07893039865
269	0.07889865425
270	0.07882101824
271	0.07880298282
272	0.07874601778
273	0.07871327704
274	0.07868639858
275	0.07858033793
276	0.07854849638
277	0.07851400481
278	0.07844129056
279	0.07839550437
280	0.07831839961
281	0.07828577256
282	0.07826466544
283	0.07824873433
284	0.07818346576
285	0.07816033288
286	0.07812719732
287	0.07812406154
288	0.07804528656
289	0.077988398
290	0.07796447756
291	0.07792826203
292	0.07790190655
293	0.07784089413
294	0.07781592361
295	0.07776249537
296	0.07769080226
297	0.07768884472
298	0.07765613912
299	0.07762281959
300	0.07760490407
301	0.07756721677
302	0.07755013428
303	0.07754646725
304	0.07753507135
305	0.07750121644
306	0.07744851789
307	0.07740924306
308	0.07735540346
309	0.0772783235
310	0.07724668246
311	0.07722157344
312	0.07714645929
313	0.07710692607
314	0.07706679133
315	0.07705969292
316	0.07702289033
317	0.07701278016
318	0.07695845894
319	0.07686090025
320	0.07678386164
321	0.07675198908
322	0.07673488385
323	0.07671813624
324	0.07668358472
325	0.07666423877
326	0.07662580317
327	0.07660078304
328	0.07656665528
329	0.07653820376
330	0.07651755347
331	0.07648209863
332	0.07646613031
333	0.07641187316
334	0.07635260124
335	0.07633111171
336	0.07630015074
337	0.07629398045
338	0.0762528597
339	0.07622630785
340	0.07618559432
341	0.07618229523
342	0.07605257046
343	0.0760401038
344	0.07600125686
345	0.07591453803
346	0.07589021657
347	0.07586204825
348	0.07580072784
349	0.07579292661
350	0.07576166592
351	0.07570733022
352	0.07559233971
353	0.07559082246
354	0.07556288152
355	0.07554935237
356	0.07548716791
357	0.07546183151
358	0.07544532988
359	0.07540494088
360	0.0753516346
361	0.07534431088
362	0.07532648837
363	0.0753049699
364	0.07528404468
365	0.07527240073
366	0.07520060427
367	0.07511980974
368	0.07511681865
369	0.0751119341
370	0.07507903833
371	0.07506446736
372	0.07502688342
373	0.07500986708
374	0.07494496025
375	0.07492796252
376	0.07490404828
377	0.07484544609
378	0.07479919068
379	0.0747973551
380	0.07476060005
381	0.07473174752
382	0.07470938774
383	0.07463820521
384	0.07462506468
385	0.07457281675
386	0.07455790471
387	0.07453872206
388	0.07447493973
389	0.07445810116
390	0.07444841682
391	0.07443618374
392	0.07438616207
393	0.07432932106
394	0.07432111055
395	0.07429079038
396	0.07427110335
397	0.07426882541
398	0.07419509001
399	0.07418256548
400	0.07414851006
401	0.07411262527
402	0.07410544418
403	0.07410047694
404	0.07406057165
405	0.07405039533
406	0.07403321363
407	0.07401666238
408	0.07400610572
409	0.0739452256
410	0.07390427435
411	0.07390027039
412	0.07389435436
413	0.07385500718
414	0.07385340724
415	0.07382088148
416	0.07378453366
417	0.07372079887
418	0.07370120693
419	0.0736771418
420	0.07365901543
421	0.07364211071
422	0.07360830128
423	0.07360683158
424	0.07358105695
425	0.07357671605
426	0.07349076825
427	0.07340640177
428	0.07339294498
429	0.07338047832
430	0.07337647642
431	0.07337207971
